Travis d'Arnaud
(60-day, Elbow)	29	C	Arb 2	$3,475,000	-	-	$3,475,000	$3,475,000	2.31	3,475,000
David Wright 	35	3B	Vet	$20,000,000	-	-	$20,000,000	$20,000,000	13.32	17,250,000
Jay Bruce	31	RF	Vet	$10,000,000	$1,000,000	-	$11,000,000	$11,000,000	7.32	13,000,000
Todd Frazier	32	3B	Vet	$8,000,000	-	-	$8,000,000	$8,000,000	5.33	8,500,000
Jacob deGrom	30	SP	Arb 2	$7,400,000	-	-	$7,400,000	$7,400,000	4.93	7,400,000
Jerry Blevins	34	RP	Vet	$7,000,000	-	-	$7,000,000	$7,000,000	4.66	6,500,000
Jason Vargas	35	SP	Vet	$6,000,000	-	-	$6,000,000	$6,000,000	3.99	8,000,000
Anthony Swarzak	32	RP	Vet	$5,000,000	$500,000	-	$5,500,000	$5,500,000	3.66	7,000,000
Wilmer Flores	26	1B	Arb 2	$3,400,000	-	-	$3,400,000	$3,400,000	2.26	3,400,000
Noah Syndergaard	25	SP	Arb 1	$2,975,000	-	-	$2,975,000	$2,975,000	1.98	2,975,000
Jose Reyes	35	3B	Vet	$2,000,000	-	-	$2,000,000	$2,000,000	1.33	2,000,000
Zack Wheeler	28	SP	Arb 2	$1,900,000	-	-	$1,900,000	$1,900,000	1.27	1,900,000
Michael Conforto 	25	RF	Pre-Arb	$605,094	-	-	$605,094	$605,094	0.40	605,094
Steven Matz 	27	SP	Pre-Arb	$577,000	-	-	$577,000	$577,000	0.38	577,000
Seth Lugo	28	RP	Pre-Arb	$564,000	-	-	$564,000	$564,000	0.38	564,000
Robert Gsellman 	24	RP	Pre-Arb	$562,375	-	-	$562,375	$562,375	0.37	562,375
Kevin Plawecki	27	C	Pre-Arb	$557,471	-	-	$557,471	$557,471	0.37	557,471
Amed Rosario	22	SS	Pre-Arb	$548,940	-	-	$548,940	$548,940	0.37	548,940
Brandon Nimmo	25	CF	Pre-Arb	$555,968	-	-	$555,968	$546,987	0.36	555,968
Paul Sewald	28	RP	Pre-Arb	$553,250	-	-	$553,250	$475,840	0.32	553,250
Jose Lobaton 	33	C	Vet	$1,250,000	-	-	$1,250,000	$463,680	0.31	1,250,000
Jacob Rhame	25	RP	Pre-Arb	$545,650	-	-	$545,650	$305,136	0.20	545,650
Tyler Bashlor 	25	RP	Pre-Arb	$545,000	-	-	$545,000	$287,140	0.19	545,000
Corey Oswalt 	24	SP	Pre-Arb	$545,000	-	-	$545,000	$287,140	0.19	545,000
Tim Peterson 	27	RP	Vet	$545,000	-	-	$545,000	$272,490	0.18	545,000
Drew Smith 	24	SP	Pre-Arb	$545,000	-	-	$545,000	$260,770	0.17	545,000
Tomas Nido 	24	C	Pre-Arb	$545,000	-	-	$545,000	$219,750	0.15	545,000
Dominic Smith 	23	1B	Pre-Arb	$545,000	-	-	$545,000	$219,750	0.15	545,000
Jeff McNeil 	26	3B	Pre-Arb	$545,000	-	-	$545,000	$202,170	0.13	545,000
Austin Jackson	31	CF	Vet	$545,000	-	-	$545,000	$193,380	0.13	545,000
Daniel Zamora 	25	RP	Pre-Arb	$545,000	-	-	$545,000	$131,850	0.09	545,000
Jack Reinheimer 	25	SS	Pre-Arb	$545,000	-	-	$545,000	$114,270	0.08	545,000
Drew Gagnon 	28	SP	Pre-Arb	$545,000	-	-	$545,000	$84,970	0.06	545,000
Devin Mesoraco	30	C	Vet	$13,000,000	$125,000	-	$13,125,000	-	0.00	7,000,000
Yoenis Cespedes	32	CF	Vet	$29,000,000	-	-	$29,000,000	$29,000,000	19.31	27,500,000
A.J. Ramos	31	RP	Arb 3	$9,225,000	-	-	$9,225,000	$9,225,000	6.14	9,225,000
Juan Lagares	29	CF	Arb 3	$6,500,000	-	-	$6,500,000	$6,500,000	4.33	4,710,739
Rafael Montero
(60-day, Elbow)	27	RP/CL	Pre-Arb	$558,025	-	-	$558,025	$558,025	0.37	558,025
T.J. Rivera
(60-day, Elbow-tommy-john)	29	3B	Pre-Arb	$556,071	-	-	$556,071	$556,071	0.37	556,071
Phillip Evans
(60-day, Leg)	25	3B	Pre-Arb	$555,000	-	-	$555,000	$253,640	0.17	555,000
Bobby Wahl
(60-day, Hamstring)	26	RP	Pre-Arb	$545,000	-	-	$545,000	$175,800	0.12	545,000
Eric Hanhold
(60-day, Oblique)	24	P	Pre-Arb	$545,000	-	-	$545,000	$87,900	0.06	545,000
Jenrry Mejia	28	RP	Arb 1	$1,792,000	-	-	$1,792,000	$1,792,000	1.19	1,792,000
Matt Harvey	29	RP	$5,625,000	-	-	$5,625,000	$5,625,000	3.75	5,625,000
Asdrubal Cabrera	32	2B	$5,366,925	-	-	$5,366,925	$5,366,925	3.57	5,366,925
Jeurys Familia	28	RP	$3,067,776	-	-	$3,067,776	$3,067,776	2.04	4,857,224
Adrian Gonzalez	36	1B	$545,000	-	-	$545,000	$545,000	0.36	545,000
Hansel Robles	27	RP	$410,700	-	-	$410,700	$410,700	0.27	410,700
Jose Bautista	37	RF	$287,140	-	-	$287,140	$287,140	0.19	287,140
P.J. Conlon	24	SP	$11,720	-	-	$11,720	$11,720	0.01	11,720
Carlos Beltran	41	DH	$3,142,857	-	-	$3,142,857	$3,142,857
Bobby Bonilla	55	LF	$1,193,248	-	-	$1,193,248	$1,193,248
Bret Saberghagen	54	SP	$250,000	-	-	$250,000	$250,000
